Poll	Date	Sample	Democrats	Republicans	Spread
RCP Average	10/29 - 11/5	--	47.3	47.5	Republicans +0.2
Politico/GWU/Battleground	11/4 - 11/5	1000 LV	47	46	Republicans +1
CNN/Opinion Research	11/2 - 11/4	693 LV	49	48	Republicans +1
Gallup	11/1 - 11/4	2551 LV	48	49	Democrats +1
Rasmussen Reports	10/29 - 11/4	3500 LV	46	46	Tie
Politico/GWU/Battleground	10/29 - 11/1	1000 LV	46	46	Tie
CBS News/NY Times	10/25 - 10/28	563 LV	46	48	Democrats +2
Rasmussen Reports	10/22 - 10/28	3500 LV	46	43	Republicans +3
NPR	10/23 - 10/25	1000 LV	43	43	Tie
Politico/GWU/Battleground	10/22 - 10/25	1000 LV	46	45	Republicans +1
Rasmussen Reports	10/15 - 10/21	3500 LV	44	43	Republicans +1
Politico/GWU/Battleground	10/15 - 10/18	1000 LV	46	46	Tie
Rasmussen Reports	10/8 - 10/14	3500 LV	42	43	Democrats +1
Politico/GWU/Battleground	10/7 - 10/11	1000 LV	44	46	Democrats +2
Rasmussen Reports	10/1 - 10/7	3500 LV	43	44	Democrats +1
Politico/GWU/Battleground	10/1 - 10/4	1000 LV	45	46	Democrats +1
NPR	9/26 - 9/30	800 LV	45	48	Democrats +3
Rasmussen Reports	9/24 - 9/30	3500 LV	45	41	Republicans +4
USA Today/Gallup	9/24 - 9/27	1301 RV	46	47	Democrats +1
Politico/GWU/Battleground	9/24 - 9/27	1000 LV	44	46	Democrats +2
Bloomberg	9/21 - 9/24	789 LV	45	43	Republicans +2
Rasmussen Reports	9/17 - 9/23	3500 LV	44	43	Republicans +1
Politico/GWU/Battleground	9/16 - 9/20	1000 LV	45	47	Democrats +2
Rasmussen Reports	9/10 - 9/16	3500 LV	44	43	Republicans +1
Democracy Corps (D)	9/8 - 9/12	1000 LV	46	46	Tie
Reuters/Ipsos	9/7 - 9/10	942 RV	43	49	Democrats +6
