DATE,VALUE
1959-01-01,392.1
1959-02-01,394.1
1959-03-01,396.9
1959-04-01,400.1
1959-05-01,402.7
1959-06-01,405.2
1959-07-01,405.7
1959-08-01,404.1
1959-09-01,405.3
1959-10-01,407.0
1959-11-01,410.3
1959-12-01,414.7
1960-01-01,416.3
1960-02-01,417.0
1960-03-01,418.0
1960-04-01,421.0
1960-05-01,422.5
1960-06-01,422.9
1960-07-01,424.1
1960-08-01,424.6
1960-09-01,425.5
1960-10-01,427.2
1960-11-01,426.7
1960-12-01,424.6
1961-01-01,428.8
1961-02-01,430.9
1961-03-01,432.3
1961-04-01,433.1
1961-05-01,436.6
1961-06-01,441.0
1961-07-01,443.3
1961-08-01,443.8
1961-09-01,444.9
1961-10-01,449.1
1961-11-01,453.3
1961-12-01,456.0
1962-01-01,456.3
1962-02-01,459.6
1962-03-01,463.3
1962-04-01,466.1
1962-05-01,466.9
1962-06-01,468.2
1962-07-01,470.0
1962-08-01,471.3
1962-09-01,473.8
1962-10-01,475.6
1962-11-01,478.1
1962-12-01,480.1
1963-01-01,484.2
1963-02-01,482.0
1963-03-01,483.7
1963-04-01,485.1
1963-05-01,487.8
1963-06-01,491.4
1963-07-01,492.5
1963-08-01,495.0
1963-09-01,498.2
1963-10-01,502.1
1963-11-01,503.7
1963-12-01,508.4
1964-01-01,511.6
1964-02-01,514.3
1964-03-01,517.0
1964-04-01,520.6
1964-05-01,523.9
1964-06-01,526.6
1964-07-01,529.6
1964-08-01,533.7
1964-09-01,536.7
1964-10-01,537.4
1964-11-01,541.3
1964-12-01,547.5
1965-01-01,551.8
1965-02-01,552.2
1965-03-01,555.4
1965-04-01,558.9
1965-05-01,563.1
1965-06-01,566.2
1965-07-01,570.4
1965-08-01,572.9
1965-09-01,587.9
1965-10-01,585.0
1965-11-01,590.5
1965-12-01,595.8
1966-01-01,598.3
1966-02-01,603.4
1966-03-01,607.7
1966-04-01,609.7
1966-05-01,612.4
1966-06-01,617.0
1966-07-01,620.8
1966-08-01,626.2
1966-09-01,631.7
1966-10-01,636.3
1966-11-01,641.1
1966-12-01,642.1
1967-01-01,648.3
1967-02-01,649.7
1967-03-01,654.0
1967-04-01,654.5
1967-05-01,656.9
1967-06-01,661.6
1967-07-01,667.5
1967-08-01,672.4
1967-09-01,674.8
1967-10-01,676.5
1967-11-01,682.8
1967-12-01,689.9
1968-01-01,694.5
1968-02-01,702.6
1968-03-01,710.8
1968-04-01,716.7
1968-05-01,722.9
1968-06-01,728.3
1968-07-01,735.0
1968-08-01,741.1
1968-09-01,746.8
1968-10-01,751.4
1968-11-01,757.1
1968-12-01,761.6
1969-01-01,765.4
1969-02-01,770.8
1969-03-01,777.8
1969-04-01,784.1
1969-05-01,790.4
1969-06-01,796.8
1969-07-01,805.2
1969-08-01,812.8
1969-09-01,818.0
1969-10-01,822.9
1969-11-01,826.8
1969-12-01,832.1
1970-01-01,836.8
1970-02-01,841.8
1970-03-01,846.7
1970-04-01,861.4
1970-05-01,858.3
1970-06-01,859.2
1970-07-01,869.0
1970-08-01,873.8
1970-09-01,879.2
1970-10-01,879.3
1970-11-01,881.5
1970-12-01,888.0
1971-01-01,898.2
1971-02-01,902.6
1971-03-01,908.2
1971-04-01,914.7
1971-05-01,921.7
1971-06-01,942.7
1971-07-01,934.1
1971-08-01,941.6
1971-09-01,945.8
1971-10-01,950.2
1971-11-01,957.8
1971-12-01,968.1
1972-01-01,976.3
1972-02-01,987.6
1972-03-01,994.0
1972-04-01,998.3
1972-05-01,1004.3
1972-06-01,1007.8
1972-07-01,1018.1
1972-08-01,1030.6
1972-09-01,1038.9
1972-10-01,1063.9
1972-11-01,1078.1
1972-12-01,1085.0
1973-01-01,1084.1
1973-02-01,1093.6
1973-03-01,1102.2
1973-04-01,1112.8
1973-05-01,1122.8
